"Rank","Name","kangaroo","matrix","story","tree","Total Score"
"1","WC25-552","100","100","100","100","400"
"2","WC25-466","100","100","50","100","350"
"3","WC25-115","90","100","50","30","270"
"3","WC25-203","100","100","0","70","270"
"5","WC25-210","95","100","30","30","255"
"6","WC25-207","75","100","70","0","245"
"7","WC25-261","100","100","30","0","230"
"7","WC25-541","100","100","0","30","230"
"9","WC25-102","75","100","50","0","225"
"9","WC25-211","95","100","0","30","225"
"9","WC25-260","75","100","0","50","225"
"12","WC25-113","100","60","20","30","210"
"12","WC25-483","90","100","20","0","210"
"12","WC25-553","100","60","50","0","210"
"12","WC25-574","80","100","0","30","210"
"16","WC25-158","75","100","0","30","205"
"17","WC25-052","100","100","0","0","200"
"17","WC25-083","100","100","0","0","200"
"17","WC25-209","100","100","0","0","200"
"17","WC25-277","100","100","0","0","200"
"17","WC25-549","100","100","0","0","200"
"17","WC25-550","100","100","0","0","200"
"17","WC25-554","80","0","20","100","200"
"24","WC25-528","75","0","50","70","195"
"24","WC25-571","75","100","20","0","195"
"26","WC25-103","90","100","0","0","190"
"26","WC25-117","90","100","0","0","190"
"26","WC25-262","90","100","0","0","190"
"26","WC25-353","90","100","0","0","190"
"26","WC25-416","90","100","0","0","190"
"26","WC25-417","90","100","0","0","190"
"32","WC25-153","85","100","0","0","185"
"33","WC25-419","90","60","0","30","180"
"34","WC25-107","75","100","0","0","175"
"34","WC25-108","75","100","0","0","175"
"34","WC25-235","75","100","0","0","175"
"37","WC25-415","90","80","0","0","170"
"37","WC25-557","100","0","70","0","170"
"39","WC25-070","100","60","0","0","160"
"39","WC25-229","60","100","0","0","160"
"39","WC25-524","60","100","0","0","160"
"42","WC25-105","75","60","20","0","155"
"42","WC25-530","55","100","0","0","155"
"44","WC25-002","90","60","0","0","150"
"44","WC25-082","90","60","0","0","150"
"44","WC25-089","100","50","0","0","150"
"44","WC25-159","100","0","50","0","150"
"44","WC25-257","90","60","0","0","150"
"49","WC25-149","65","60","20","0","145"
"50","WC25-349","80","60","0","0","140"
"50","WC25-352","80","60","0","0","140"
"50","WC25-442","10","100","0","30","140"
"50","WC25-469","80","60","0","0","140"
"54","WC25-116","75","60","0","0","135"
"54","WC25-206","75","60","0","0","135"
"54","WC25-254","65","10","0","60","135"
"54","WC25-418","75","60","0","0","135"
"54","WC25-548","35","100","0","0","135"
"54","WC25-551","75","60","0","0","135"
"60","WC25-308","90","40","0","0","130"
"61","WC25-003","15","100","0","10","125"
"61","WC25-073","75","50","0","0","125"
"61","WC25-208","65","60","0","0","125"
"61","WC25-478","75","0","20","30","125"
"65","WC25-278","75","10","0","30","115"
"66","WC25-071","70","0","0","40","110"
"66","WC25-197","60","50","0","0","110"
"66","WC25-459","50","60","0","0","110"
"69","WC25-061","65","20","20","0","105"
"69","WC25-104","95","10","0","0","105"
"69","WC25-160","75","0","0","30","105"
"69","WC25-543","5","100","0","0","105"
"73","WC25-005","100","0","0","0","100"
"73","WC25-060","0","100","0","0","100"
"73","WC25-112","0","100","0","0","100"
"73","WC25-205","90","10","0","0","100"
"73","WC25-472","0","100","0","0","100"
"73","WC25-482","90","10","0","0","100"
"73","WC25-529","100","0","0","0","100"
"73","WC25-540","40","60","0","0","100"
"73","WC25-547","0","100","0","0","100"
"73","WC25-556","90","10","0","0","100"
"83","WC25-281","75","0","20","0","95"
"83","WC25-479","85","10","0","0","95"
"83","WC25-492","95","0","0","0","95"
"83","WC25-545","65","10","20","0","95"
"87","WC25-204","90","0","0","0","90"
"87","WC25-280","0","60","0","30","90"
"89","WC25-007","75","10","0","0","85"
"89","WC25-198","75","10","0","0","85"
"89","WC25-464","65","20","0","0","85"
"89","WC25-485","85","0","0","0","85"
"89","WC25-499","75","10","0","0","85"
"89","WC25-546","85","0","0","0","85"
"95","WC25-473","80","0","0","0","80"
"96","WC25-079","75","0","0","0","75"
"96","WC25-098","75","0","0","0","75"
"96","WC25-199","75","0","0","0","75"
"96","WC25-306","65","10","0","0","75"
"96","WC25-307","75","0","0","0","75"
"96","WC25-350","75","0","0","0","75"
"96","WC25-367","75","0","0","0","75"
"96","WC25-526","75","0","0","0","75"
"104","WC25-354","40","0","0","30","70"
"105","WC25-109","65","0","0","0","65"
"105","WC25-462","5","60","0","0","65"
"105","WC25-481","5","60","0","0","65"
"105","WC25-525","65","0","0","0","65"
"109","WC25-088","60","0","0","0","60"
"109","WC25-351","0","60","0","0","60"
"109","WC25-423","60","0","0","0","60"
"109","WC25-470","60","0","0","0","60"
"109","WC25-471","0","60","0","0","60"
"109","WC25-484","0","60","0","0","60"
"115","WC25-059","55","0","0","0","55"
"116","WC25-486","40","0","0","0","40"
"117","WC25-039","5","10","20","0","35"
"118","WC25-480","15","10","0","0","25"
"119","WC25-401","0","0","20","0","20"
"120","WC25-228","15","0","0","0","15"
"120","WC25-463","15","0","0","0","15"
"122","WC25-041","0","10","0","0","10"
"122","WC25-086","0","10","0","0","10"
"122","WC25-279","0","0","0","10","10"
"122","WC25-284","0","10","0","0","10"
"122","WC25-422","0","10","0","0","10"
"127","WC25-064","5","0","0","0","5"
"128","WC25-008","0","0","0","0","0"
"128","WC25-038","0","0","0","0","0"
"128","WC25-051","0","0","0","0","0"
"128","WC25-057","0","0","0","0","0"
"128","WC25-058","0","0","0","0","0"
"128","WC25-072","0","0","0","0","0"
"128","WC25-084","0","0","0","0","0"
"128","WC25-087","0","0","0","0","0"
"128","WC25-090","0","0","0","0","0"
"128","WC25-091","0","0","0","0","0"
"128","WC25-092","0","0","0","0","0"
"128","WC25-093","0","0","0","0","0"
"128","WC25-097","0","0","0","0","0"
"128","WC25-100","0","0","0","0","0"
"128","WC25-101","0","0","0","0","0"
"128","WC25-110","0","0","0","0","0"
"128","WC25-111","0","0","0","0","0"
"128","WC25-114","0","0","0","0","0"
"128","WC25-154","0","0","0","0","0"
"128","WC25-196","0","0","0","0","0"
"128","WC25-253","0","0","0","0","0"
"128","WC25-324","0","0","0","0","0"
"128","WC25-458","0","0","0","0","0"
"128","WC25-493","0","0","0","0","0"
"128","WC25-494","0","0","0","0","0"
"128","WC25-544","0","0","0","0","0"
"128","WC25-572","0","0","0","0","0"
